OTU_ID	GW001	GW002	GW003	GW004	GW005	GW006	GW009	GW010	GW011	GW012	GW013	GW014	GW015	GW016	GW017	GW018	GW019	GW021	GW023	GW024	GW025	GW026	GW027	GW028	GW029	GW030	GW032	GW034	GW035	GW036	GW037	GW038	GW039	GW040	GW041	GW042	GW043	GW045	GW046	GW047	GW048	GW049	GW050	GW051	GW052	GW053	GW054	GW055	GW056	GW057	GW058	GW059	GW060	GW061	GW062	GW063	GW064	GW065	GW066	GW067	GW068	GW069	GW070	GW071	GW072	GW073	GW074	GW075	GW076	GW077	GW078	GW079	GW080	GW081	GW082	GW083	GW084	GW085	GW086	GW087	GW088	GW089	GW090	GW091	GW092	GW093	taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Growth Morphology	Trait	Confidence Ranking	Notes	Citation/Source
ITS_SV3	3272	6	2167	4659	960	472	0	6	808	238	20	5	700	98	627	1421	640	710	496	1218	0	485	104	4487	942	138	214	162	9940	18610	3903	0	3000	1425	1816	14	3354	644	1718	0	745	6	79	277	7170	1333	0	2285	3236	3202	346	113	983	844	23	1911	1744	393	36	17	1244	7541	282	4302	2531	2394	130	191	1898	2014	1533	850	1412	5722	55	84	5044	416	0	236	112	6878	1038	181	530	1987	Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Alternaria;tenuissima	Alternaria	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Plant Pathogen-Wood Saprotroph	Microfungus	Soft Rot	Possible	NULL	b'Duncan CG, Eslyn WE. 1966. Mycologia 58642-664; Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
ITS_SV5	8085	0	464	96	24	0	76	470	762	0	43	0	476	52	724	607	0	0	0	198	0	309	69	404	1061	228	976	517	3453	3851	1137	29	3545	612	132	417	927	1572	3676	23	1996	0	0	1221	3033	1090	16	2888	2016	4538	2398	240	263	0	0	1255	150	297	61	0	1769	12686	164	374	4639	1225	197	407	3470	2709	547	290	3706	5044	260	0	20447	179	4440	388	38	0	515	993	0	745	Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;cladosporioides	-	-	-	-	-	-	-	Unassigned	-
ITS_SV7	0	0	38	630	0	13	12	0	0	64	0	5	4	5	27919	0	2	8	4	0	0	0	0	7883	0	0	0	15	0	0	7649	0	7764	680	81	0	38	48	2	0	0	0	385	0	31	0	908	0	0	0	243	0	2788	0	4	27	2180	23	0	0	0	0	0	0	4	0	0	92	0	3921	3747	21	0	0	0	8	0	6710	0	707	65	0	14765	2401	12	4	Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreales_fam_Incertae_sedis;Acremonium;sclerotigenum	Acremonium	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph	Microfungus	Soft Rot	Possible	Endophyte detection method-culture (Hanada et al. 2010, Del Olmo-Ruiz & Arnold 2014); Likely opportunistic human pathogen (Irinyi et al. 2015)	b'Duncan CG, Eslyn WE. 1966. Mycologia 58:642-645 ((https://doi.org/10.2307/3757045)); Nilsson T. 1973. Studia Forestalia Suecica 104:1-40 ((https://pub.epsilon.slu.se/5711/)); Worrall JJ, et al. 1997. Mycologia 89:199-219 ((https://doi.org/10.2307/3761073)); Hanada RE, et al. 2010. Fungal Biology 114:901-910 ((https://doi.org/10.1016/j.funbio.2010.08.006)); Del Olmo-Ruiz M, Arnold AE. 2014. Mycologia 106:8-21 ((https://doi.org/10.3852/13-098)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Irinyi L, et al. 2015. Medical Mycology 53313-337 ((https://doi.org/10.1093/mmy/myv008))'
ITS_SV8	766	0	0	43	0	0	0	0	140	0	0	0	0	70	238	290	0	7	0	20	0	0	0	381	0	0	2323	141	602	0	689	0	3993	87	129	296	268	0	4998	0	990	0	0	694	5948	30	17	10774	3514	12219	922	0	307	0	0	19	311	77	0	0	8449	2368	0	47	1092	24	30	67	4346	1686	139	45	2885	7474	0	0	627	190	0	44	23	0	829	545	0	1399	Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;Unclassified	-	-	-	-	-	-	-	Unassigned	-
ITS_SV11	5447	0	0	0	0	0	0	9	6	0	0	0	0	0	107	0	0	0	0	0	0	0	0	18	0	0	2044	0	0	0	0	0	685	0	0	0	0	0	21	0	0	0	0	0	100	0	0	4805	43	4094	0	0	11	0	0	0	5	24	4	0	3042	1060	0	0	39	0	0	0	4404	797	0	0	32	586	0	0	10374	20	0	0	5	0	0	181	0	191	Fungi;Ascomycota;Dothideomycetes;Mycosphaerellales;Mycosphaerellaceae;Ramularia;hydrangeae-macrophyllae	Mycosphaerellaceae	9	Pathotroph-Saprotroph	Plant Pathogen-Undefined Saprotroph	Microfungus	NULL	Probable	Biotrophic, necrotrophic or saprobic on various plant tissues (Cannon & Kirk 2007)	b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'
ITS_SV12	317	11	570	95	39	11	13	112	704	0	0	0	378	8	8	409	12	4	9	47	0	586	33	83	684	274	260	0	2215	1487	736	12	1083	712	27	5	468	1203	814	0	122	3	52	88	4825	616	34	814	108	1291	159	397	120	33	5	667	587	468	0	6	970	989	220	75	307	784	135	69	1348	1169	351	0	2656	1831	122	0	874	12	0	79	5	19	194	85	0	1293	Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;Unclassified	-	-	-	-	-	-	-	Unassigned	-
ITS_SV13	2283	0	28	57	0	0	0	48	143	0	0	0	66	0	298	247	0	0	0	0	0	62	0	80	0	0	121	94	112	178	631	0	5905	103	0	0	124	166	2099	0	324	0	0	518	2507	0	32	282	751	437	529	0	100	0	0	30	29	171	0	18	317	4339	30	288	618	118	28	0	418	2669	46	0	245	448	40	0	6068	124	177	0	21	0	231	433	0	369	Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;Unclassified	-	-	-	-	-	-	-	Unassigned	-
ITS_SV14	0	0	0	0	3	0	0	5110	0	0	0	0	0	0	0	0	0	0	7	0	0	0	5	0	0	0	0	15529	0	0	0	0	0	0	5663	0	0	0	0	23	4	0	890	0	0	0	132	0	0	0	0	0	0	3740	66	0	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	Fungi;Ascomycota;Leotiomycetes;Erysiphales;Erysiphaceae;Golovinomyces;ambrosiae	Golovinomyces	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
ITS_SV16	109	38	182	36	14	0	0	0	572	0	0	0	242	0	0	0	31	0	0	0	0	1286	0	310	41	1510	0	0	650	742	0	0	0	0	0	31	4168	2422	215	0	9	0	0	24	4931	389	0	17	838	4	141	56	0	0	0	0	502	0	0	0	55	3745	282	28	110	0	109	0	0	0	0	0	0	0	373	0	21	0	0	11	92	0	0	0	13	0	Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymellaceae;Neodidymelliopsis;ranunculi	Didymellaceae	9	Pathotroph-Saprotroph	Animal Pathogen-Plant Pathogen-Undefined Saprotroph	Microfungus	NULL	Possible	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
ITS_SV19	1695	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	99	0	0	793	0	2482	0	0	0	0	0	0	0	0	0	0	96	382	0	0	0	0	0	0	6294	0	0	0	0	3971	0	0	3916	0	0	0	0	0	0	0	0	224	Fungi;Ascomycota;Dothideomycetes;Mycosphaerellales;Mycosphaerellaceae;Ramularia;eucalypti	Mycosphaerellaceae	9	Pathotroph-Saprotroph	Plant Pathogen-Undefined Saprotroph	Microfungus	NULL	Probable	Biotrophic, necrotrophic or saprobic on various plant tissues (Cannon & Kirk 2007)	b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'
