"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species","ASV","OTU_ID","Taxon","Taxon Level","Trophic Mode","Guild","Growth Morphology","Trait","Confidence Ranking","Notes","Citation/Source"
"1",248.78952163259,-9.81538627714272,7.67220711692782e-05,-127934.323559725,0,0,"k__Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Neodidymelliopsis","ranunculi","Neodidymelliopsis (ITS_SV16)","ITS_SV16","Didymellaceae","9","Pathotroph-Saprotroph","Animal Pathogen-Plant Pathogen-Undefined Saprotroph","Microfungus","NULL","Possible","NULL","b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
"2",266.107439343169,-7.19453044878206,7.67220711692782e-05,-93773.9341383027,0,0,"k__Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Neodidymelliopsis","ranunculi","Neodidymelliopsis (ITS_SV20)","ITS_SV20","Didymellaceae","9","Pathotroph-Saprotroph","Animal Pathogen-Plant Pathogen-Undefined Saprotroph","Microfungus","NULL","Possible","NULL","b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
"3",100.547423332393,-7.11393824228013,7.67220711692782e-05,-92723.490566151,0,0,"k__Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium","pullulans","Aureobasidium (ITS_SV27)","ITS_SV27","Aureobasidium","13","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Endophyte-Epiphyte-Plant Pathogen-Undefined Saprotroph","Facultative Yeast","NULL","Possible","NULL","b'Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Wachowska U, G\xc5\x82owacka K. 2014. BioControl 59:635-645 ((https://doi.org/10.1007/s10526-014-9596-5)); Irinyia L, et al. 2016. Fungal Biology 120:125-136 ((https://doi.org/10.1016/j.funbio.2015.04.007)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))'"
"4",57.9715738324907,-2.15727698900656,7.67220711692782e-05,-28118.0754915594,0,0,"k__Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Unclassified","Fusarium (ITS_SV38)","ITS_SV38","Fusarium","13","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Soil Saprotroph-Wood Saprotroph","Microfungus","NULL","Possible","Likely opportunistic human pathogen (Irinyi et al. 2015)","b'Duncan CG, Eslyn WE. 1966. Mycologia 58:642-664 ((https://doi.org/10.2307/3757045)); Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Irinyi L, et al. 2015. Medical Mycology 53:313-337 ((https://doi.org/10.1093/mmy/myv008)); Schroers, et al. 2016. Mycologia 108:806-819 ((https://doi.org/10.3852/15-255)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx)); Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))'"
"5",18.3204234380488,-4.2955151145247,7.67220711692782e-05,-55987.9973136694,0,0,"k__Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","cladosporioides","Cladosporium (ITS_SV68)","ITS_SV68","-","-","Unclassified","-","-","-","-","Unassigned","-"
"6",26.1839389404632,-2.95929091232527,7.67220711692782e-05,-38571.5722636834,0,0,"k__Fungi","Basidiomycota","Cystobasidiomycetes","Unclassified","Unclassified","Unclassified Cystobasidiomycetes","Unclassified","Unclassified Cystobasidiomycetes (ITS_SV70)","ITS_SV70","-","-","Unclassified","-","-","-","-","Unassigned","-"
"7",19.0299199297311,-2.81466090739214,7.67220711692782e-05,-36686.4562504045,0,0,"k__Fungi","Basidiomycota","Cystobasidiomycetes","Cystobasidiomycetes_ord_Incertae_sedis","Symmetrosporaceae","Symmetrospora","gracilis","Symmetrospora (ITS_SV89)","ITS_SV89","-","-","Unclassified","-","-","-","-","Unassigned","-"
"8",34.42570232201,-4.42395205753693,7.67220711692782e-05,-57662.0520029498,0,0,"k__Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Metschnikowiaceae","Metschnikowia","leonuri","Metschnikowia (ITS_SV99)","ITS_SV99","-","-","Unclassified","-","-","-","-","Unassigned","-"
"9",12.6913351409116,-3.08996427886477,7.67220711692782e-05,-40274.7766291023,0,0,"k__Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Neocatenulostroma","microsporum","Neocatenulostroma (ITS_SV100)","ITS_SV100","Teratosphaeriaceae","9","Pathotroph-Saprotroph","Animal Pathogen-Plant Pathogen-Undefined Saprotroph","NULL","NULL","Probable","Includes numerous saprobic, extremophilic, human opportunistic, and plant pathogenic fungi (Quaedvlieg et al. 2014)","b'Quaedvlieg W, et al. 2014. Persoonia 3:31-40 ((https://doi.org/10.3767/003158514X681981))'"
"10",7.73996346662147,-2.96398143756805,7.67220711692782e-05,-38632.7088463029,0,0,"k__Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Unclassified Sporormiaceae","Unclassified","Unclassified Sporormiaceae (ITS_SV115)","ITS_SV115","Sporormiaceae","9","Saprotroph","Dung Saprotroph-Plant Saprotroph","Microfungus","NULL","Probable","Saprobic, associated with dung and rotting vegetation (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'"
